_ID,TimeSt,Country,Province,City,Latitude,Longitude
4581791,2017-06-21 17:02:30.330,CA,AB,Calgary,50.89867,-113.95401
4625713,2017-06-21 17:05:56.130,CA,ON,Barrie,44.40150,-79.67820
5502577,2017-06-21 17:13:19.397,CA,ON,Mississauga,43.57690,-79.62830
4895877,2017-06-21 17:27:05.747,CA,MB,Winnipeg,49.81360,-97.07590
4917608,2017-06-21 17:29:10.083,CA,NS,Sydney,46.16138,-60.17932
4690039,2017-06-21 18:10:36.247,CA,AB,Calgary,51.03297,-113.98352
5114582,2017-06-21 18:42:03.357,CA,ON,Toronto,43.67200,-79.37910
4600889,2017-06-21 19:04:10.487,CA,AB,Calgary,51.08201,-113.96235
4649094,2017-06-21 19:07:27.253,CA,ON,Oakville,43.49340,-79.71260
4859703,2017-06-21 19:23:51.583,CA,ON,Brampton,43.72973,-79.74113
5159768,2017-06-21 19:44:59.627,CA,QC,Montréal,45.53350,-73.66700
4656363,2017-06-21 20:07:51.287,CA,ON,Sault Sainte Marie,46.51190,-84.30280
4704907,2017-06-21 20:11:55.177,CA,QC,Laval,45.57814,-73.79379
5283061,2017-06-21 20:54:16.580,CA,AB,Airdrie,51.30820,-114.03980
5319168,2017-06-21 20:56:06.143,CA,ON,Maple,43.85260,-79.51170
4998372,2017-06-21 21:34:05.287,CA,AB,Edmonton,53.47390,-113.48300
5037582,2017-06-21 21:36:33.133,CA,AB,Edmonton,53.58700,-113.44100
4568964,2017-06-21 22:01:51.870,CA,ON,Etobicoke,43.60680,-79.50630
4808328,2017-06-21 22:19:40.827,CA,AB,Saint Albert,53.64150,-113.61400
5584948,2017-06-21 22:20:20.863,CA,NS,Kentville,45.08340,-64.49880
5094399,2017-06-21 22:40:42.193,CA,ON,Barrie,44.33030,-79.72680
4582578,2017-06-21 00:02:33.737,CA,AB,Calgary,51.04940,-113.95640
4966616,2017-06-21 00:32:07.993,CA,AB,Saint Albert,53.63340,-113.63530
4744986,2017-06-21 01:14:52.343,CA,ON,Kitchener,43.39100,-80.44100
4760025,2017-06-21 01:15:54.057,CA,ON,Burlington,43.38890,-79.76820
5360028,2017-06-21 01:59:25.813,CA,AB,Strathmore,51.04680,-113.39300
4743979,2017-06-21 02:14:52.970,CA,AB,Calgary,51.12797,-114.21276
5540931,2017-06-21 02:17:11.183,CA,ON,Toronto,43.76483,-79.40995
5008284,2017-06-21 02:34:33.473,CA,QC,Sainte-Foy,46.78230,-71.28820
4540255,2017-06-21 03:01:11.837,CA,ON,Toronto,43.66096,-79.37224
4741027,2017-06-21 03:14:39.953,CA,AB,Calgary,51.04940,-113.95640
5532999,2017-06-21 03:16:18.623,CA,NS,Dartmouth,44.67810,-63.51210
4969319,2017-06-21 03:32:21.293,CA,ON,Mississauga,43.58690,-79.75590
5065293,2017-06-21 03:38:15.247,CA,AB,Canmore,51.08760,-115.34610
5287612,2017-06-21 03:54:32.833,CA,ON,Milton,43.51520,-79.88020
5348104,2017-06-21 03:58:46.730,CA,ON,York,43.68830,-79.44960
4526625,2017-06-21 04:00:21.363,CA,ON,Ancaster,43.20800,-79.96520
5612776,2017-06-21 04:22:52.787,CA,ON,Toronto,43.67960,-79.43430
5345421,2017-06-21 04:58:28.693,CA,ON,Toronto,43.70680,-79.39910
4734831,2017-06-21 05:14:11.933,CA,QC,Saint-Constant,45.36680,-73.56590
5588583,2017-06-21 05:20:40.710,CA,ON,Burlington,43.37500,-79.84340
4945341,2017-06-21 05:31:03.383,CA,AB,Calgary,51.01960,-114.20029
5069994,2017-06-21 05:38:40.913,CA,ON,Kitchener,43.44530,-80.49050
4572027,2017-06-21 06:01:56.393,CA,ON,Newmarket,44.05870,-79.45910
4813710,2017-06-21 06:20:13.453,CA,AB,Edmonton,53.58671,-113.49101
4850668,2017-06-21 06:23:15.487,CA,QC,Laval,45.60186,-73.77142
4659939,2017-06-21 07:08:11.977,CA,AB,Olds,51.78340,-114.10200
5266392,2017-06-21 07:52:52.427,CA,AB,Calgary,51.04750,-114.06800
5326176,2017-06-21 07:56:40.360,CA,QC,Saint-Jérôme,45.89330,-74.13670
5349202,2017-06-21 07:58:55.660,CA,AB,Calgary,51.04556,-114.06709
4529292,2017-06-21 08:00:33.970,CA,AB,Calgary,51.13300,-113.85600
5541561,2017-06-21 08:17:15.500,CA,MB,Winnipeg,49.87210,-97.14388
5219067,2017-06-21 08:49:19.573,CA,AB,Edmonton,53.48174,-113.53947
4606843,2017-06-21 09:04:39.540,CA,ON,Milton,43.51480,-79.88400
5524446,2017-06-21 09:15:33.450,CA,MB,The Pas,53.81373,-101.24459
4809828,2017-06-21 09:19:52.800,CA,AB,Edmonton,53.51850,-113.65790
4812040,2017-06-21 09:20:06.157,CA,AB,Edmonton,53.44693,-113.43865
4888067,2017-06-21 09:26:21.380,CA,QC,Laval,45.56100,-73.68090
4963084,2017-06-21 09:31:54.253,CA,AB,Edmonton,53.58700,-113.44100
4976046,2017-06-21 09:32:40.360,CA,QC,Laval,45.53060,-73.75210
5098070,2017-06-21 09:40:57.360,CA,ON,Cambridge,43.36770,-80.33800
5333784,2017-06-21 09:57:20.530,CA,NB,Moncton,46.10330,-64.81500
4578931,2017-06-21 10:02:18.440,CA,AB,Edmonton,53.60156,-113.40854
5407588,2017-06-21 10:03:54.923,CA,BC,Port Alberni,49.26787,-124.78962
5213431,2017-06-21 10:48:52.240,CA,SK,Saskatoon,52.12250,-106.72488
5359488,2017-06-21 10:59:25.800,CA,ON,Barrie,44.38510,-79.69910
5402179,2017-06-21 11:03:04.673,CA,ON,York,43.70300,-79.51200
4616363,2017-06-21 11:05:16.183,CA,AB,Calgary,51.15810,-113.93800
4790721,2017-06-21 11:17:59.510,CA,QC,Saint-Constant,45.36680,-73.56590
4876218,2017-06-21 11:25:33.413,CA,QC,Lasalle,45.44050,-73.61650
5116457,2017-06-21 11:42:03.213,CA,ON,Toronto,43.66820,-79.42090
4672848,2017-06-21 12:09:07.230,CA,ON,Courtice,43.88600,-78.80430
5526916,2017-06-21 12:15:45.863,CA,AB,Calgary,51.07752,-114.16401
5045583,2017-06-21 12:37:05.860,CA,AB,Calgary,51.02420,-114.10040
5057441,2017-06-21 12:37:50.710,CA,QC,Châteauguay,45.35260,-73.73050
5146936,2017-06-21 12:44:08.580,CA,ON,North York,43.78100,-79.34830
5227634,2017-06-21 12:50:05.577,CA,QC,Montreal,45.65000,-73.48330
5439069,2017-06-21 13:07:07.600,CA,ON,Thornhill,43.83950,-79.38310
4700139,2017-06-21 13:11:31.120,CA,QC,Lasalle,45.42000,-73.64000
4994269,2017-06-21 13:33:52.797,CA,AB,Canmore,51.08760,-115.34610
5097159,2017-06-21 13:40:47.917,CA,AB,Leduc,53.26170,-113.54900
5577590,2017-06-21 14:19:36.403,CA,AB,Calgary,51.01565,-113.96535
5082131,2017-06-21 14:39:34.460,CA,QC,Sainte-Foy,46.78230,-71.28820
4659638,2017-06-21 15:08:07.803,CA,BC,Burnaby,49.25695,-122.94600
4867091,2017-06-21 15:24:33.360,CA,ON,Mississauga,43.52960,-79.66300
4912602,2017-06-21 15:28:35.847,CA,ON,Richmond Hill,43.89390,-79.43750
5149339,2017-06-21 15:44:13.253,CA,AB,Edmonton,53.54673,-113.49599
4581634,2017-06-21 16:02:30.280,CA,ON,Kitchener,43.43070,-80.48780
4651197,2017-06-21 16:07:27.447,CA,ON,Toronto,43.64140,-79.41510
4729729,2017-06-21 16:13:50.320,CA,QC,Drummondville,45.86500,-72.50360
4801273,2017-06-21 17:18:55.447,CA,AB,Edmonton,53.55150,-113.49200
4964434,2017-06-21 17:31:54.160,CA,ON,Brampton,43.70287,-79.75283
5501561,2017-06-21 18:13:16.890,CA,AB,Red Deer,52.23919,-113.75632
5524238,2017-06-21 18:15:30.680,CA,AB,Calgary,51.08180,-113.95900
4755193,2017-06-21 18:15:33.610,CA,ON,Ottawa,45.37450,-75.70950
5575996,2017-06-21 18:19:30.873,CA,AB,Calgary,51.04860,-113.96800
5142624,2017-06-21 18:43:50.113,CA,ON,Toronto,43.70560,-79.42790
5153812,2017-06-21 18:44:28.000,CA,ON,Richmond Hill,43.84280,-79.42390
5365923,2017-06-21 18:59:47.393,CA,ON,Toronto,43.70560,-79.42790
4530326,2017-06-21 19:00:36.873,CA,AB,Calgary,51.06560,-114.06300
5513573,2017-06-21 19:14:36.340,CA,QC,Montréal,45.52940,-73.58000
4832158,2017-06-21 19:21:38.737,CA,AB,Edmonton,53.54807,-113.59434
5066825,2017-06-21 19:38:25.520,CA,NB,Moncton,46.10876,-64.80491
5269541,2017-06-21 19:53:08.473,CA,AB,Calgary,51.06300,-113.88900
5367849,2017-06-21 20:00:02.517,CA,ON,Kanata,45.28230,-75.84590
4572517,2017-06-21 20:01:58.287,CA,ON,Barrie,44.40150,-79.67820
4726407,2017-06-21 20:13:46.100,CA,AB,Calgary,51.15630,-114.05720
4732463,2017-06-21 20:14:01.227,CA,AB,Calgary,51.12290,-114.18900
5027376,2017-06-21 20:35:45.943,CA,MB,Winnipeg,49.92422,-97.20587
5056836,2017-06-21 20:37:48.710,CA,ON,Ajax,43.89590,-79.03440
4543490,2017-06-21 21:01:24.703,CA,ON,North York,43.74233,-79.43730
4635628,2017-06-21 21:06:33.890,CA,AB,Edmonton,53.58500,-113.55260
4712391,2017-06-21 21:12:30.183,CA,ON,Orillia,44.60780,-79.41750
4865438,2017-06-21 21:24:24.620,CA,AB,Edmonton,53.60754,-113.48698
5004566,2017-06-21 21:34:26.193,CA,ON,Saint Catharines,43.19410,-79.25250
5493466,2017-06-21 22:12:38.670,CA,NB,Dieppe,46.09613,-64.71325
4868625,2017-06-21 22:24:43.603,CA,ON,Aurora,44.00650,-79.45040
4989223,2017-06-21 22:33:32.470,CA,AB,Saint Albert,53.64150,-113.61400
5291128,2017-06-21 00:54:44.383,CA,ON,Ottawa,45.36170,-75.79050
5510245,2017-06-21 01:14:13.420,CA,AB,Calgary,51.10174,-113.97731
5570746,2017-06-21 01:19:07.107,CA,ON,Ottawa,45.44400,-75.69300
4963494,2017-06-21 01:31:51.080,CA,ON,Gloucester,45.28360,-75.68300
5256666,2017-06-21 01:52:18.287,CA,AB,Edmonton,53.51438,-113.44628
5548298,2017-06-21 02:17:38.480,CA,AB,Calgary,51.00320,-114.12600
4970204,2017-06-21 02:32:25.083,CA,AB,Edmonton,53.47390,-113.48300
5141373,2017-06-21 02:43:44.270,CA,ON,Timmins,48.47730,-81.33640
5368084,2017-06-21 02:59:59.190,CA,AB,Rocky Mountain House,52.29661,-114.64590
4547828,2017-06-21 03:01:31.967,CA,ON,London,42.99230,-81.25310
5593282,2017-06-21 03:21:06.997,CA,ON,Etobicoke,43.65270,-79.55240
5597511,2017-06-21 03:21:21.877,CA,ON,Ottawa,45.45550,-75.65520
4895829,2017-06-21 03:27:04.613,CA,ON,Toronto,43.67960,-79.43430
4551643,2017-06-21 04:01:32.637,CA,AB,Edmonton,53.55000,-113.50000
4900583,2017-06-21 04:27:33.690,CA,SK,Estevan,49.14204,-102.97279
5206954,2017-06-21 04:48:27.380,CA,AB,Leduc,53.26170,-113.54900
4924404,2017-06-21 05:29:44.913,CA,SK,Saskatoon,52.13050,-106.65900
5192316,2017-06-21 05:47:16.937,CA,ON,Oshawa,43.92050,-78.82870
5267551,2017-06-21 05:53:03.337,CA,AB,Calgary,50.96300,-114.07300
5282176,2017-06-21 05:54:13.900,CA,ON,Scarborough,43.72950,-79.26290
5294470,2017-06-21 05:54:48.037,CA,ON,Ottawa,45.41130,-75.70680
5351476,2017-06-21 05:59:01.790,CA,AB,Calgary,50.88100,-114.02800
5083525,2017-06-21 06:39:39.977,CA,ON,Brampton,43.76488,-79.72280
5456604,2017-06-21 07:09:17.013,CA,ON,Milton,43.51520,-79.88020
5207803,2017-06-21 07:48:27.510,CA,ON,Scarborough,43.72950,-79.26290
5453431,2017-06-21 08:09:02.360,CA,ON,London,43.01218,-81.20578
4691766,2017-06-21 08:10:47.710,CA,ON,Innisfil,44.34790,-79.55940
5054641,2017-06-21 08:37:39.803,CA,AB,Calgary,51.03810,-114.11800
4605629,2017-06-21 09:04:30.923,CA,AB,Calgary,51.03780,-114.08000
5451993,2017-06-21 09:08:55.157,CA,QC,Gatineau,45.47600,-75.67860
4910087,2017-06-21 09:28:20.747,CA,ON,Toronto,43.64300,-79.33830
5198646,2017-06-21 09:47:54.560,CA,AB,Fort Mackay,57.35564,-111.63887
5202226,2017-06-21 09:48:06.760,CA,AB,Calgary,51.05240,-114.03800
5321545,2017-06-21 09:56:15.787,CA,ON,Cambridge,43.40077,-80.36670
5375912,2017-06-21 10:00:38.713,CA,ON,Ottawa,45.36170,-75.79050
